No.;Time;;Source;Destination;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
423;1,476192;;23,44,53,144;192,168,1,3;;;1,476192;1,476194;2,00E-06;;1,00E-06;1,00E-06;-2,22E-16
424;1,476194;;23,44,53,144;192,168,1,3;;;1,476194;1,476195;1,00E-06;;1,00E-06;0;-1,00E-06
425;1,476195;;23,44,53,144;192,168,1,3;;;1,476195;1,476195;0;;-0,000166;0,000166;0,000332
426;1,476195;;23,44,53,144;192,168,1,3;;;1,476195;1,476361;0,000166;;-0,000721;0,000887;0,001608
427;1,476361;;192,168,1,3;23,44,53,144;;;1,476361;1,477248;0,000887;;-0,000107;0,000994;0,001101
428;1,477248;;23,44,53,144;192,168,1,3;;;1,477248;1,478242;0,000994;;0,000993;1,00E-06;-0,000992
429;1,478242;;23,44,53,144;192,168,1,3;;;1,478242;1,478243;1,00E-06;;0;1,00E-06;1,00E-06
430;1,478243;;23,44,53,144;192,168,1,3;;;1,478243;1,478244;1,00E-06;;-2,22E-16;1,00E-06;1,00E-06
431;1,478244;;23,44,53,144;192,168,1,3;;;1,478244;1,478245;1,00E-06;;-0,000157;0,000158;0,000315
432;1,478245;;23,44,53,144;192,168,1,3;;;1,478245;1,478403;0,000158;;6,00E-05;9,80E-05;3,80E-05
433;1,478403;;192,168,1,3;23,44,53,144;;;1,478403;1,478501;9,80E-05;;-0,000588;0,000686;0,001274
434;1,478501;;192,168,1,3;23,44,53,144;;;1,478501;1,479187;0,000686;;0,000604;8,20E-05;-0,000522
435;1,479187;;23,44,53,144;192,168,1,3;;;1,479187;1,479269;8,20E-05;;-0,016042;0,016124;0,032166
436;1,479269;;192,168,1,3;23,44,53,144;;;1,479269;1,495393;0,016124;;0,015943;0,000181;-0,015762
440;1,495393;;23,44,53,144;192,168,1,3;;;1,495393;1,495574;0,000181;;-0,000477;0,000658;0,001135
441;1,495574;;192,168,1,3;23,44,53,144;;;1,495574;1,496232;0,000658;;-0,008776;0,009434;0,01821
442;1,496232;;23,44,53,144;192,168,1,3;;;1,496232;1,505666;0,009434;;0,005325;0,004109;-0,001216
445;1,505666;;192,168,1,3;23,44,53,144;;;1,505666;1,509775;0,004109;;0,003912;0,000197;-0,003715
449;1,509775;;23,44,53,144;192,168,1,3;;;1,509775;1,509972;0,000197;;-0,000875;0,001072;0,001947
450;1,509972;;192,168,1,3;23,44,53,144;;;1,509972;1,511044;0,001072;;2,70E-05;0,001045;0,001018
451;1,511044;;192,168,1,3;23,44,53,144;;;1,511044;1,512089;0,001045;;-0,001917;0,002962;0,004879
452;1,512089;;192,168,1,3;23,44,53,144;;;1,512089;1,515051;0,002962;;0,002828;0,000134;-0,002694
454;1,515051;;23,44,53,144;192,168,1,3;;;1,515051;1,515185;0,000134;;-0,01499;0,015124;0,030114
455;1,515185;;192,168,1,3;23,44,53,144;;;1,515185;1,530309;0,015124;;0,006742;0,008382;0,00164
459;1,530309;;192,168,1,3;23,44,53,144;;;1,530309;1,538691;0,008382;;0,007535;0,000847;-0,006688
460;1,538691;;192,168,1,3;23,44,53,144;;;1,538691;1,539538;0,000847;;0,000159;0,000688;0,000529
461;1,539538;;192,168,1,3;23,44,53,144;;;1,539538;1,540226;0,000688;;0,000558;0,00013;-0,000428
462;1,540226;;192,168,1,3;72.246.222.152;;;1,540226;1,540356;0,00013;;-0,018271;0,018401;0,036672
463;1,540356;;192,168,1,3;23,44,53,144;;;1,540356;1,558757;0,018401;;-0,005651;0,024052;0,029703
466;1,558757;;23,44,53,144;192,168,1,3;;;1,558757;1,582809;0,024052;;0,024051;1,00E-06;-0,02405
472;1,582809;;23,44,53,144;192,168,1,3;;;1,582809;1,58281;1,00E-06;;-0,017893;0,017894;0,035787
473;1,58281;;23,44,53,144;192,168,1,3;;;1,58281;1,600704;0,017894;;0,008849;0,009045;0,000196
474;1,600704;;192,168,1,3;23,44,53,144;;;1,600704;1,609749;0,009045;;0,003057;0,005988;0,002931
475;1,609749;;23,44,53,144;192,168,1,3;;;1,609749;1,615737;0,005988;;-0,002974;0,008962;0,011936
476;1,615737;;23,44,53,144;192,168,1,3;;;1,615737;1,624699;0,008962;;0,007592;0,00137;-0,006222
477;1,624699;;192,168,1,3;23,44,53,144;;;1,624699;1,626069;0,00137;;-0,012308;0,013678;0,025986
478;1,626069;;192,168,1,3;23,44,53,144;;;1,626069;1,639747;0,013678;;0,013677;1,00E-06;-0,013676
480;1,639747;;23,44,53,144;192,168,1,3;;;1,639747;1,639748;1,00E-06;;-0,00404;0,004041;0,008081
481;1,639748;;23,44,53,144;192,168,1,3;;;1,639748;1,643789;0,004041;;0,004041;0;-0,004041
482;1,643789;;23,44,53,144;192,168,1,3;;;1,643789;1,643789;0;;-1,00E-06;1,00E-06;2,00E-06
483;1,643789;;23,44,53,144;192,168,1,3;;;1,643789;1,64379;1,00E-06;;2,22E-16;1,00E-06;1,00E-06
484;1,64379;;23,44,53,144;192,168,1,3;;;1,64379;1,643791;1,00E-06;;-2,00E-06;3,00E-06;5,00E-06
485;1,643791;;23,44,53,144;192,168,1,3;;;1,643791;1,643794;3,00E-06;;-0,000147;0,00015;0,000297
486;1,643794;;23,44,53,144;192,168,1,3;;;1,643794;1,643944;0,00015;;-0,035166;0,035316;0,070482
487;1,643944;;192,168,1,3;23,44,53,144;;;1,643944;1,67926;0,035316;;0,031917;0,003399;-0,028518
490;1,67926;;192,168,1,3;144,195,42,75;;;1,67926;1,682659;0,003399;;-0,010678;0,014077;0,024755
493;1,682659;;192,168,1,3;23,44,53,144;;;1,682659;1,696736;0,014077;;0,012067;0,00201;-0,010057
497;1,696736;;144,195,42,75;192,168,1,3;;;1,696736;1,698746;0,00201;;-0,003;0,00501;0,00801
498;1,698746;;144,195,42,75;192,168,1,3;;;1,698746;1,703756;0,00501;;0,004033;0,000977;-0,003056
502;1,703756;;23,44,53,144;192,168,1,3;;;1,703756;1,704733;0,000977;;-0,006103;0,00708;0,013183
503;1,704733;;23,44,53,144;192,168,1,3;;;1,704733;1,711813;0,00708;;0,006175;0,000905;-0,00527
506;1,711813;;23,44,53,144;192,168,1,3;;;1,711813;1,712718;0,000905;;-0,008601;0,009506;0,018107
507;1,712718;;23,44,53,144;192,168,1,3;;;1,712718;1,722224;0,009506;;0,00224;0,007266;0,005026
509;1,722224;;192,168,1,3;23,44,53,144;;;1,722224;1,72949;0,007266;;-0,004311;0,011577;0,015888
513;1,72949;;192,168,1,3;23,44,53,144;;;1,72949;1,741067;0,011577;;0,008375;0,003202;-0,005173
518;1,741067;;192,168,1,3;144,195,42,75;;;1,741067;1,744269;0,003202;;0,002257;0,000945;-0,001312
522;1,744269;;23,44,53,144;192,168,1,3;;;1,744269;1,745214;0,000945;;-0,006898;0,007843;0,014741
523;1,745214;;192,168,1,3;23,44,53,144;;;1,745214;1,753057;0,007843;;0,007589;0,000254;-0,007335
528;1,753057;;192,168,1,3;23,44,53,144;;;1,753057;1,753311;0,000254;;-0,036168;0,036422;0,07259
529;1,753311;;192,168,1,3;23,44,53,144;;;1,753311;1,789733;0,036422;;0,026358;0,010064;-0,016294
557;1,789733;;192,168,1,3;23,44,53,144;;;1,789733;1,799797;0,010064;;0,009917;0,000147;-0,00977
559;1,799797;;72.246.222.152;192,168,1,3;;;1,799797;1,799944;0,000147;;-0,002242;0,002389;0,004631
561;1,799944;;192,168,1,3;72.246.222.152;;;1,799944;1,802333;0,002389;;-0,02109;0,023479;0,044569
562;1,802333;;192,168,1,3;72.246.222.152;;;1,802333;1,825812;0,023479;;0,023478;1,00E-06;-0,023477
578;1,825812;;23,44,53,144;192,168,1,3;;;1,825812;1,825813;1,00E-06;;-0,001712;0,001713;0,003425
579;1,825813;;23,44,53,144;192,168,1,3;;;1,825813;1,827526;0,001713;;-0,005579;0,007292;0,012871
580;1,827526;;192,168,1,3;23,44,53,144;;;1,827526;1,834818;0,007292;;0,007291;1,00E-06;-0,00729
581;1,834818;;23,44,53,144;192,168,1,3;;;1,834818;1,834819;1,00E-06;;-0,019045;0,019046;0,038091
582;1,834819;;23,44,53,144;192,168,1,3;;;1,834819;1,853865;0,019046;;0,01007;0,008976;-0,001094
592;1,853865;;23,44,53,144;192,168,1,3;;;1,853865;1,862841;0,008976;;0,004811;0,004165;-0,000646
595;1,862841;;23,44,53,144;192,168,1,3;;;1,862841;1,867006;0,004165;;-0,002506;0,006671;0,009177
596;1,867006;;192,168,1,3;23,44,53,144;;;1,867006;1,873677;0,006671;;-0,007822;0,014493;0,022315
597;1,873677;;192,168,1,3;23,44,53,144;;;1,873677;1,88817;0,014493;;0,013911;0,000582;-0,013329
600;1,88817;;23,44,53,144;192,168,1,3;;;1,88817;1,888752;0,000582;;-0,024435;0,025017;0,049452
601;1,888752;;23,44,53,144;192,168,1,3;;;1,888752;1,913769;0,025017;;0,013968;0,011049;-0,002919
